id,description,category,severity,department,risk_level,reported_date,status,similar_incidents,root_causes,recommendations,impact,urgency
INC-00001,Critical session hijacking of Operations user accounts,Security,Critical,IT,High,2025-11-01,Open,"[{""incident_id"": ""INC-04257"", ""description"": ""Low APT group compromising Customer Service network shares through watering hole attack..."", ""relevance"": 0.9}, {""incident_id"": ""INC-01106"", ""description"": ""High DNS hijacking affecting Marketing file sharing..."", ""relevance"": 0.77}, {""incident_id"": ""INC-04527"", ""description"": ""Medium data breach exposing authentication credentials in Finance..."", ""relevance"": 0.72}, {""incident_id"": ""INC-06635"", ""description"": ""Medium malware infection detected on Customer Service laptop..."", ""relevance"": 0.94}, {""incident_id"": ""INC-07201"", ""description"": ""Critical social engineering attack on Operations all employees..."", ""relevance"": 0.92}, {""incident_id"": ""INC-06925"", ""description"": ""High DNS hijacking affecting Finance email services..."", ""relevance"": 0.87}]","[""Weak password policies"", ""Insider threat detection blind spots"", ""Missing endpoint protection solutions"", ""Lack of multi-factor authentication"", ""Inadequate access control mechanisms""]","[""Conduct comprehensive forensic investigation"", ""Immediate containment and isolation of affected systems"", ""Notify all affected stakeholders immediately"", ""Conduct security awareness training"", ""Engage external security consultants"", ""Review and strengthen backup procedures"", ""Establish continuous monitoring program""]",High,Immediate
INC-00002,High Message queue failure in Sales system,System Failure,High,Customer Service,High,2025-06-12,Resolved,"[{""incident_id"": ""INC-03677"", ""description"": ""Low UPS battery failure in Operations data center..."", ""relevance"": 0.95}, {""incident_id"": ""INC-04598"", ""description"": ""Medium Monitoring system outage in IT infrastructure..."", ""relevance"": 0.76}, {""incident_id"": ""INC-01525"", ""description"": ""Medium UPS battery failure in Operations data center..."", ""relevance"": 0.72}]","[""Poor change management processes"", ""Storage subsystem failures"", ""Auto-scaling threshold misconfigurations"", ""Lack of automated monitoring"", ""Environmental factors affecting hardware""]","[""Deploy security information and event management"", ""Conduct tabletop exercises for incident response"", ""Deploy additional monitoring solutions"", ""Establish regular security audits""]",High,Low
INC-00003,Medium cloud storage misconfiguration exposing Operations employee data,Data Leakage,Medium,Customer Service,Medium,2026-01-30,Resolved,"[{""incident_id"": ""INC-03504"", ""description"": ""High Session recording leak with Marketing user financial records..."", ""relevance"": 0.8}, {""incident_id"": ""INC-08668"", ""description"": ""Medium Log file exposure containing IT sensitive data..."", ""relevance"": 0.87}]","[""Inadequate employee training on data protection"", ""Insufficient data anonymization"", ""Privileged user monitoring gaps"", ""Shadow data storage locations"", ""Database security configuration weaknesses""]","[""Implement data loss prevention tools"", ""Engage external security consultants"", ""Review and update security policies"", ""Review and strengthen backup procedures"", ""Deploy endpoint detection and response"", ""Notify all affected stakeholders immediately"", ""Conduct comprehensive forensic investigation""]",Low,Medium
INC-00004,Low VPN gateway failure preventing Customer Service remote access,Network,Low,Marketing,Low,2025-06-30,In Progress,"[{""incident_id"": ""INC-09837"", ""description"": ""Critical Spanning tree protocol failure in Sales switches..."", ""relevance"": 0.82}, {""incident_id"": ""INC-02832"", ""description"": ""Medium latency issues in Legal network path..."", ""relevance"": 0.71}, {""incident_id"": ""INC-02290"", ""description"": ""Critical Load balancing failure for Customer Service email services..."", ""relevance"": 0.94}]","[""Network architecture design flaws"", ""Wireless security weaknesses"", ""Proxy server misconfigurations"", ""DNS infrastructure vulnerabilities"", ""Poor network monitoring capabilities""]","[""Conduct tabletop exercises for incident response"", ""Review and strengthen backup procedures"", ""Deploy security information and event management"", ""Conduct security awareness training"", ""Review and update security policies"", ""Implement data loss prevention tools""]",High,Low
INC-00005,Medium API gateway failure blocking Marketing integrations,System Failure,Medium,R&D,Medium,2025-04-26,Closed,"[{""incident_id"": ""INC-02982"", ""description"": ""High memory leak causing service disruption in Finance database..."", ""relevance"": 0.85}, {""incident_id"": ""INC-04770"", ""description"": ""High ERP system crash causing data loss in Finance..."", ""relevance"": 0.72}, {""incident_id"": ""INC-01514"", ""description"": ""Medium server failure affecting R&D web services..."", ""relevance"": 0.77}, {""incident_id"": ""INC-08953"", ""description"": ""High Container orchestration failure affecting HR services..."", ""relevance"": 0.88}, {""incident_id"": ""INC-08744"", ""description"": ""High load balancer failure causing data loss in Marketing..."", ""relevance"": 0.72}]","[""Configuration management failures"", ""Memory exhaustion conditions"", ""Service dependency failures"", ""Application memory leaks"", ""Backup and recovery system failures""]","[""Establish incident response procedures"", ""Review third-party vendor security"", ""Conduct tabletop exercises for incident response"", ""Implement data loss prevention tools"", ""Implement network segmentation"", ""Review and strengthen backup procedures""]",Medium,Low
INC-00006,High fileless malware attack on Finance ERP system,Security,High,IT,High,2026-03-28,Closed,"[{""incident_id"": ""INC-05563"", ""description"": ""Low APT group compromising Finance API endpoints through zero-day exploit..."", ""relevance"": 0.72}, {""incident_id"": ""INC-09856"", ""description"": ""Critical phishing attack targeting Legal employees via malicious link..."", ""relevance"": 0.8}, {""incident_id"": ""INC-08886"", ""description"": ""High man-in-the-middle attack intercepting IT communications..."", ""relevance"": 0.74}]","[""Inadequate incident response planning"", ""Privilege escalation vulnerabilities"", ""Third-party security risks"", ""Outdated security policies and procedures"", ""Unpatched software vulnerabilities""]","[""Conduct security awareness training"", ""Establish regular security audits"", ""Implement network segmentation"", ""Review and update security policies"", ""Conduct vulnerability assessment""]",Medium,Low
INC-00007,Medium Cache server failure affecting Customer Service performance,System Failure,Medium,R&D,Medium,2026-02-20,Open,"[{""incident_id"": ""INC-09238"", ""description"": ""High database corruption in R&D customer database..."", ""relevance"": 0.91}, {""incident_id"": ""INC-02122"", ""description"": ""Critical Cache server failure affecting Legal performance..."", ""relevance"": 0.8}, {""incident_id"": ""INC-05033"", ""description"": ""Critical API gateway failure blocking Finance integrations..."", ""relevance"": 0.8}, {""incident_id"": ""INC-09565"", ""description"": ""Medium CPU overload on Legal web server..."", ""relevance"": 0.76}, {""incident_id"": ""INC-07484"", ""description"": ""High Cache server failure affecting Operations performance..."", ""relevance"": 0.81}]","[""Software bugs and coding errors"", ""Insufficient redundancy in design"", ""Inadequate testing procedures"", ""Inadequate capacity planning"", ""Hardware aging and component degradation""]","[""Establish continuous monitoring program"", ""Review access control lists and permissions"", ""Conduct comprehensive forensic investigation"", ""Implement privileged access management""]",Medium,Immediate
INC-00008,Low IoT device leak transmitting Operations employee data,Data Leakage,Low,Legal,Low,2025-12-15,Resolved,"[{""incident_id"": ""INC-05905"", ""description"": ""Critical cloud storage misconfiguration exposing Operations financial records..."", ""relevance"": 0.92}, {""incident_id"": ""INC-03546"", ""description"": ""Medium API response leak exposing Security medical records..."", ""relevance"": 0.88}]","[""Data backup security weaknesses"", ""Insufficient vendor oversight"", ""Insufficient data encryption"", ""Inadequate data classification"", ""Cross-border data transfer violations""]","[""Deploy additional monitoring solutions"", ""Implement network segmentation"", ""Establish regular security audits"", ""Update all software and security patches"", ""Deploy security information and event management"", ""Review and strengthen backup procedures""]",Low,Low
INC-00009,Critical DNS resolution failure for Marketing file sharing,Network,Critical,IT,High,2025-09-24,Open,"[{""incident_id"": ""INC-02832"", ""description"": ""Critical Traffic shaping misconfiguration affecting HR..."", ""relevance"": 0.84}, {""incident_id"": ""INC-07049"", ""description"": ""High proxy server failure blocking HR internet access..."", ""relevance"": 0.71}]","[""Insufficient network redundancy"", ""Cloud connectivity reliability issues"", ""Routing protocol instabilities"", ""Inadequate network segmentation"", ""DDoS protection inadequacies""]","[""Deploy additional monitoring solutions"", ""Establish continuous monitoring program"", ""Implement network segmentation"", ""Establish regular security audits"", ""Conduct vulnerability assessment"", ""Review third-party vendor security""]",Medium,High
INC-00010,High privacy policy non-compliance by R&D record keeping,Compliance,High,Finance,High,2025-12-21,Closed,"[{""incident_id"": ""INC-07267"", ""description"": ""Critical breach notification delay from Legal..."", ""relevance"": 0.75}, {""incident_id"": ""INC-08541"", ""description"": ""Medium insufficient access controls in Legal email server..."", ""relevance"": 0.71}]","[""Continuous monitoring program inadequacies"", ""Lack of regular compliance assessments"", ""Data subject rights process deficiencies"", ""Inadequate staff training on compliance"", ""Whistleblower program deficiencies""]","[""Immediate containment and isolation of affected systems"", ""Deploy additional monitoring solutions"", ""Review access control lists and permissions"", ""Conduct vulnerability assessment"", ""Engage external security consultants"", ""Implement multi-factor authentication"", ""Establish continuous monitoring program""]",Medium,Medium
